section,row,seat,x,y
316,19,22,6528.93,6819.05
316,19,23,6515.39,6822.58
316,19,24,6501.84,6826.11
316,1,1,6699.31,6312.76
316,1,2,6685.77,6316.29
316,1,3,6672.22,6319.82
316,1,4,6658.67,6323.34
316,1,5,6645.12,6326.87
316,1,6,6631.57,6330.4
316,1,7,6618.03,6333.93
316,1,8,6604.48,6337.46
316,1,9,6590.93,6340.99
316,1,10,6577.38,6344.52
316,1,11,6563.84,6348.05
316,1,12,6550.29,6351.58
316,1,13,6536.74,6355.11
316,1,14,6523.19,6358.63
316,1,15,6509.64,6362.16
316,1,16,6496.1,6365.69
316,1,17,6482.55,6369.22
316,1,18,6469,6372.75
316,1,19,6455.45,6376.28
316,1,20,6441.9,6379.81
316,1,21,6428.36,6383.34
316,1,22,6414.81,6386.87
316,1,23,6401.26,6390.39
316,1,24,6387.71,6393.92
316,2,1,6705.49,6336.47
316,2,2,6691.94,6340
316,2,3,6678.39,6343.52
316,2,4,6664.85,6347.05
316,2,5,6651.3,6350.58
316,2,6,6637.75,6354.11
316,2,7,6624.2,6357.64
316,2,8,6610.65,6361.17
316,2,9,6597.11,6364.7
316,2,10,6583.56,6368.23
316,2,11,6570.01,6371.76
316,2,12,6556.46,6375.29
316,2,13,6542.92,6378.81
316,2,14,6529.37,6382.34
316,2,15,6515.82,6385.87
316,2,16,6502.27,6389.4
316,2,17,6488.72,6392.93
316,2,18,6475.18,6396.46
316,2,19,6461.63,6399.99
316,2,20,6448.08,6403.52
316,2,21,6434.53,6407.05
316,2,22,6420.98,6410.57
316,2,23,6407.44,6414.1
316,2,24,6393.89,6417.63
316,3,1,6711.67,6360.18
316,3,2,6698.12,6363.7
316,3,3,6684.57,6367.23
316,3,4,6671.02,6370.76
316,3,5,6657.47,6374.29
316,3,6,6643.93,6377.82
316,3,7,6630.38,6381.35
316,3,8,6616.83,6384.88
316,3,9,6603.28,6388.41
316,3,10,6589.73,6391.94
316,3,11,6576.19,6395.46
316,3,12,6562.64,6398.99
316,3,13,6549.09,6402.52
316,3,14,6535.54,6406.05
316,3,15,6522,6409.58
316,3,16,6508.45,6413.11
316,3,17,6494.9,6416.64
316,3,18,6481.35,6420.17
316,3,19,6467.8,6423.7
316,3,20,6454.26,6427.23
316,3,21,6440.71,6430.75
316,3,22,6427.16,6434.28
316,3,23,6413.61,6437.81
316,3,24,6400.06,6441.34
316,4,1,6717.84,6383.88
316,4,2,6704.29,6387.41
316,4,3,6690.75,6390.94
316,4,4,6677.2,6394.47
316,4,5,6663.65,6398
316,4,6,6650.1,6401.53
316,4,7,6636.55,6405.06
316,4,8,6623.01,6408.59
316,4,9,6609.46,6412.12
316,4,10,6595.91,6415.64
316,4,11,6582.36,6419.17
316,4,12,6568.81,6422.7
316,4,13,6555.27,6426.23
316,4,14,6541.72,6429.76
316,4,15,6528.17,6433.29
316,4,16,6514.62,6436.82
316,4,17,6501.07,6440.35
316,4,18,6487.53,6443.88
316,4,19,6473.98,6447.41
316,4,20,6460.43,6450.93
316,4,21,6446.88,6454.46
316,4,22,6433.34,6457.99
316,4,23,6419.79,6461.52
316,4,24,6406.24,6465.05
316,5,1,6724.02,6407.59
316,5,2,6710.47,6411.12
316,5,3,6696.92,6414.65
316,5,4,6683.37,6418.18
316,5,5,6669.83,6421.71
316,5,6,6656.28,6425.24
316,5,7,6642.73,6428.77
316,5,8,6629.18,6432.3
316,5,9,6615.63,6435.82
316,5,10,6602.09,6439.35
316,5,11,6588.54,6442.88
316,5,12,6574.99,6446.41
316,5,13,6561.44,6449.94
316,5,14,6547.89,6453.47
316,5,15,6534.35,6457
316,5,16,6520.8,6460.53
316,5,17,6507.25,6464.06
316,5,18,6493.7,6467.59
316,5,19,6480.15,6471.11
316,5,20,6466.61,6474.64
316,5,21,6453.06,6478.17
316,5,22,6439.51,6481.7
316,5,23,6425.96,6485.23
316,5,24,6412.42,6488.76
316,6,1,6703.58,6438.23
316,6,2,6690.03,6441.76
316,6,3,6676.49,6445.29
316,6,4,6662.94,6448.82
316,6,5,6649.39,6452.35
316,6,6,6635.84,6455.88
316,6,7,6622.29,6459.41
316,6,8,6608.75,6462.94
316,6,9,6595.2,6466.47
316,6,10,6581.65,6469.99
316,6,11,6568.1,6473.52
316,6,12,6554.55,6477.05
316,6,13,6541.01,6480.58
316,6,14,6527.46,6484.11
316,6,15,6513.91,6487.64
316,6,16,6500.36,6491.17
316,6,17,6486.81,6494.7
316,6,18,6473.27,6498.23
316,6,19,6459.72,6501.76
316,6,20,6446.17,6505.28
316,7,1,6709.76,6461.94
316,7,2,6696.21,6465.47
316,7,3,6682.66,6469
316,7,4,6669.11,6472.53
316,7,5,6655.57,6476.06
316,7,6,6642.02,6479.59
316,7,7,6628.47,6483.12
316,7,8,6614.92,6486.65
316,7,9,6601.37,6490.17
316,7,10,6587.83,6493.7
316,7,11,6574.28,6497.23
316,7,12,6560.73,6500.76
316,7,13,6547.18,6504.29
316,7,14,6533.63,6507.82
316,7,15,6520.09,6511.35
316,7,16,6506.54,6514.88
316,7,17,6492.99,6518.41
316,7,18,6479.44,6521.94
316,7,19,6465.89,6525.46
316,7,20,6452.35,6528.99
316,8,1,6711.09,6486.91
316,8,2,6697.55,6490.44
316,8,3,6684,6493.97
316,8,4,6670.45,6497.5
316,8,5,6656.9,6501.03
316,8,6,6643.35,6504.56
316,8,7,6629.81,6508.09
316,8,8,6616.26,6511.61
316,8,9,6602.71,6515.14
316,8,10,6589.16,6518.67
316,8,11,6575.61,6522.2
316,8,12,6562.07,6525.73
316,8,13,6548.52,6529.26
316,8,14,6534.97,6532.79
316,8,15,6521.42,6536.32
316,8,16,6507.88,6539.85
316,8,17,6494.33,6543.38
316,8,18,6480.78,6546.9
316,8,19,6467.23,6550.43
316,9,1,6750.23,6508.23
316,9,2,6736.68,6511.76
316,9,3,6723.14,6515.29
316,9,4,6709.59,6518.82
316,9,5,6696.04,6522.35
316,9,6,6682.49,6525.88
316,9,7,6668.95,6529.41
316,9,8,6655.4,6532.94
316,9,9,6641.85,6536.47
316,9,10,6628.3,6540
316,9,11,6614.75,6543.52
316,9,12,6601.21,6547.05
316,9,13,6587.66,6550.58
316,9,14,6574.11,6554.11
316,9,15,6560.56,6557.64
316,9,16,6547.01,6561.17
316,9,17,6533.47,6564.7
316,9,18,6519.92,6568.23
316,9,19,6506.37,6571.76
316,9,20,6492.82,6575.29
316,9,21,6479.27,6578.81
316,9,22,6465.73,6582.34
316,9,23,6452.18,6585.87
316,9,24,6438.63,6589.4
316,20,1,6819.62,6768.65
316,20,2,6806.07,6772.18
316,20,3,6792.52,6775.71
316,20,4,6778.97,6779.24
316,20,5,6765.43,6782.77
316,20,6,6751.88,6786.3
316,20,7,6738.33,6789.83
316,20,8,6724.78,6793.36
316,20,9,6711.23,6796.89
316,20,10,6697.69,6800.42
316,20,11,6684.14,6803.94
316,20,12,6670.59,6807.47
316,20,13,6657.04,6811
316,20,14,6643.49,6814.53
316,20,15,6629.95,6818.06
316,20,16,6616.4,6821.59
316,20,17,6602.85,6825.12
316,20,18,6589.3,6828.65
316,20,19,6575.75,6832.18
316,20,20,6562.21,6835.7
316,20,21,6548.66,6839.23
316,20,22,6535.11,6842.76
316,20,23,6521.56,6846.29
316,20,24,6508.01,6849.82
316,21,1,6825.79,6792.36
316,21,2,6812.24,6795.89
316,21,3,6798.7,6799.42
316,21,4,6785.15,6802.95
316,21,5,6771.6,6806.48
316,21,6,6758.05,6810.01
316,21,7,6744.51,6813.54
316,21,8,6730.96,6817.07
316,21,9,6717.41,6820.59
316,21,10,6703.86,6824.12
316,21,11,6690.31,6827.65
316,21,12,6676.77,6831.18
316,21,13,6663.22,6834.71
316,21,14,6649.67,6838.24
316,21,15,6636.12,6841.77
316,21,16,6622.57,6845.3
316,21,17,6609.03,6848.83
316,21,18,6595.48,6852.36
316,21,19,6581.93,6855.88
316,21,20,6568.38,6859.41
316,21,21,6554.83,6862.94
316,21,22,6541.29,6866.47
316,21,23,6527.74,6870
316,21,24,6514.19,6873.53
PL1,1,1,3751.85,5835.67
PL1,1,2,3736.94,5831.44
PL1,1,3,3722.03,5827.21
PL1,1,4,3707.13,5822.98
PL1,1,5,3692.22,5818.74
PL1,1,6,3677.33,5814.52
PL1,1,7,3662.45,5810.3
PL1,1,8,3647.58,5806.08
PL1,2A,1,3746.58,5854.25
PL1,2A,2,3725.4,5848.24
PL1,2A,3,3704.23,5842.23
PL1,2A,4,3683.05,5836.22
PL1,2A,5,3661.91,5830.22
PL1,2A,6,3640.79,5824.17
318,11,1,6348.66,6663.44
318,11,2,6335.11,6666.96
318,11,3,6321.56,6670.49
318,11,4,6308.01,6674.02
318,11,5,6294.46,6677.55
318,11,6,6280.92,6681.08
318,11,7,6267.37,6684.61
318,11,8,6253.82,6688.14
318,11,9,6240.27,6691.67
318,11,10,6226.72,6695.2
318,11,11,6213.18,6698.73
318,11,12,6199.63,6702.25
318,11,13,6186.08,6705.78
318,11,14,6172.53,6709.31
318,11,15,6158.98,6712.84
318,11,16,6145.44,6716.37
318,11,17,6131.89,6719.9
318,11,18,6118.34,6723.43
318,11,19,6104.79,6726.96
318,11,20,6091.24,6730.49
318,11,21,6077.7,6734.02
318,11,22,6064.15,6737.54
318,11,23,6050.6,6741.07
318,11,24,6037.05,6744.6
318,22,1,6418.04,6923.86
318,22,2,6404.49,6927.38
318,22,3,6390.94,6930.91
318,22,4,6377.4,6934.44
318,22,5,6363.85,6937.97
318,22,6,6350.3,6941.5
318,22,7,6336.75,6945.03
318,22,8,6323.2,6948.56
318,22,9,6309.66,6952.09
318,22,10,6296.11,6955.62
318,22,11,6282.56,6959.14
318,22,12,6269.01,6962.67
318,22,13,6255.46,6966.2
318,22,14,6241.92,6969.73
318,22,15,6228.37,6973.26
318,22,16,6214.82,6976.79
318,22,17,6201.27,6980.32
318,22,18,6187.72,6983.85
318,22,19,6174.18,6987.38
318,22,20,6160.63,6990.91
318,22,21,6147.08,6994.43
318,22,22,6133.53,6997.96
318,22,23,6119.99,7001.49
318,22,24,6106.44,7005.02
318,12,1,6354.83,6687.14
318,12,2,6341.28,6690.67
318,12,3,6327.74,6694.2
318,12,4,6314.19,6697.73
318,12,5,6300.64,6701.26
318,12,6,6287.09,6704.79
318,12,7,6273.54,6708.32
318,12,8,6260,6711.85
318,12,9,6246.45,6715.38
318,12,10,6232.9,6718.91
318,12,11,6219.35,6722.43
318,12,12,6205.8,6725.96
318,12,13,6192.26,6729.49
318,12,14,6178.71,6733.02
318,12,15,6165.16,6736.55
318,12,16,6151.61,6740.08
318,12,17,6138.06,6743.61
318,12,18,6124.52,6747.14
318,12,19,6110.97,6750.67
318,12,20,6097.42,6754.19
318,12,21,6083.87,6757.72
318,12,22,6070.32,6761.25
318,12,23,6056.78,6764.78
318,12,24,6043.23,6768.31
318,23,1,6424.22,6947.56
318,23,2,6410.67,6951.09
318,23,3,6397.12,6954.62
318,23,4,6383.57,6958.15
318,23,5,6370.02,6961.68
318,23,6,6356.48,6965.21
318,23,7,6342.93,6968.74
318,23,8,6329.38,6972.27
318,23,9,6315.83,6975.8
318,23,10,6302.28,6979.32
318,23,11,6288.74,6982.85
318,23,12,6275.19,6986.38
318,23,13,6261.64,6989.91
318,23,14,6248.09,6993.44
318,23,15,6234.54,6996.97
318,23,16,6221,7000.5
318,23,17,6207.45,7004.03
318,23,18,6193.9,7007.56
318,23,19,6180.35,7011.09
318,23,20,6166.8,7014.61
318,23,21,6153.26,7018.14
318,23,22,6139.71,7021.67
318,23,23,6126.16,7025.2
318,23,24,6112.61,7028.73
318,13,1,6361.01,6710.85
318,13,2,6347.46,6714.38
318,13,3,6333.91,6717.91
318,13,4,6320.36,6721.44
318,13,5,6306.82,6724.97
318,13,6,6293.27,6728.5
318,13,7,6279.72,6732.03
318,13,8,6266.17,6735.56
318,13,9,6252.62,6739.09
318,13,10,6239.08,6742.61
318,13,11,6225.53,6746.14
318,13,12,6211.98,6749.67
318,13,13,6198.43,6753.2
318,13,14,6184.88,6756.73
318,13,15,6171.34,6760.26
318,13,16,6157.79,6763.79
318,13,17,6144.24,6767.32
318,13,18,6130.69,6770.85
318,13,19,6117.14,6774.37
318,13,20,6103.6,6777.9
318,13,21,6090.05,6781.43
318,13,22,6076.5,6784.96
318,13,23,6062.95,6788.49
318,13,24,6049.4,6792.02
318,24,1,6430.39,6971.27
318,24,2,6416.84,6974.8
318,24,3,6403.3,6978.33
318,24,4,6389.75,6981.86
318,24,5,6376.2,6985.39
318,24,6,6362.65,6988.92
318,24,7,6349.1,6992.45
318,24,8,6335.56,6995.98
318,24,9,6322.01,6999.5
318,24,10,6308.46,7003.03
318,24,11,6294.91,7006.56
318,24,12,6281.36,7010.09
318,24,13,6267.82,7013.62
318,24,14,6254.27,7017.15
318,24,15,6240.72,7020.68
318,24,16,6203.46,7030.38
318,24,17,6189.92,7033.91
318,24,18,6176.37,7037.44
318,24,19,6162.82,7040.97
318,24,20,6149.27,7044.5
318,24,21,6135.72,7048.03
318,24,22,6122.18,7051.56
318,25,1,6448.66,6991.83
318,25,2,6435.12,6995.36
318,25,3,6421.57,6998.89
318,25,4,6408.02,7002.42
318,25,5,6394.47,7005.95
318,25,6,6380.92,7009.48
318,25,7,6367.38,7013
318,25,8,6353.83,7016.53
318,25,9,6340.28,7020.06
318,25,10,6326.73,7023.59
318,25,11,6313.18,7027.12
318,25,12,6299.64,7030.65
318,25,13,6286.09,7034.18
318,25,14,6272.54,7037.71
318,25,15,6258.99,7041.24
318,25,16,6245.44,7044.77
318,25,17,6207.22,7054.72
318,25,18,6193.67,7058.25
318,25,19,6180.12,7061.78
318,25,20,6166.58,7065.31
318,25,21,6153.03,7068.84
318,25,22,6139.48,7072.37
318,25,23,6125.93,7075.9
318,25,24,6112.38,7079.43
318,25,25,6098.84,7082.95
318,14,1,6367.18,6734.56
318,14,2,6353.63,6738.09
318,14,3,6340.09,6741.62
318,14,4,6326.54,6745.15
318,14,5,6312.99,6748.68
318,14,6,6299.44,6752.21
318,14,7,6285.89,6755.74
318,14,8,6272.35,6759.27
318,14,9,6258.8,6762.79
318,14,10,6245.25,6766.32
318,14,11,6231.7,6769.85
318,14,12,6218.16,6773.38
318,14,13,6204.61,6776.91
318,14,14,6191.06,6780.44
318,14,15,6177.51,6783.97
318,14,16,6163.96,6787.5
318,14,17,6150.42,6791.03
318,14,18,6136.87,6794.55
318,14,19,6123.32,6798.08
318,14,20,6109.77,6801.61
318,14,21,6096.22,6805.14
318,14,22,6082.68,6808.67
318,14,23,6069.13,6812.2
318,14,24,6055.58,6815.73
318,15,1,6373.36,6758.27
318,15,2,6359.81,6761.8
318,15,3,6346.26,6765.33
318,15,4,6332.71,6768.86
318,15,5,6319.17,6772.39
318,15,6,6305.62,6775.92
318,15,7,6292.07,6779.44
318,15,8,6278.52,6782.97
318,15,9,6264.97,6786.5
318,15,10,6251.43,6790.03
318,15,11,6237.88,6793.56
318,15,12,6224.33,6797.09
318,15,13,6210.78,6800.62
318,15,14,6197.24,6804.15
318,15,15,6183.69,6807.68
318,15,16,6170.14,6811.21
318,15,17,6156.59,6814.73
318,15,18,6143.04,6818.26
318,15,19,6129.5,6821.79
318,15,20,6115.95,6825.32
318,15,21,6102.4,6828.85
318,15,22,6088.85,6832.38
318,15,23,6075.3,6835.91
318,15,24,6061.76,6839.44
318,16,1,6380.99,6781.6
318,16,2,6367.44,6785.13
318,16,3,6353.89,6788.66
318,16,4,6340.34,6792.19
318,16,5,6326.79,6795.72
318,16,6,6313.25,6799.25
318,16,7,6299.7,6802.78
318,16,8,6286.15,6806.3
318,16,9,6272.6,6809.83
318,16,10,6259.05,6813.36
318,16,11,6245.51,6816.89
318,16,12,6231.96,6820.42
318,16,13,6218.41,6823.95
318,16,14,6204.86,6827.48
318,16,15,6191.31,6831.01
318,16,16,6177.77,6834.54
318,16,17,6164.22,6838.07
318,16,18,6150.67,6841.59
318,16,19,6137.12,6845.12
318,16,20,6123.57,6848.65
318,16,21,6110.03,6852.18
318,16,22,6096.48,6855.71
318,16,23,6082.93,6859.24
318,16,24,6069.38,6862.77
318,17,1,6387.16,6805.31
318,17,2,6373.61,6808.84
318,17,3,6360.07,6812.37
